,power_consumption
0,0.21836767179746097
1,-0.11142592025563387
2,-0.16639151893114967
3,-0.035848222076799635
4,0.30768676964517416
5,0.13591927378418728
6,0.24585047113521888
7,-0.0014947229046022548
8,-0.18013291860002864
9,-0.3106762154543787
10,-0.6404698075074735
11,-0.6885647063485498
12,-0.6885647063485498
13,-0.8878150015472946
14,-0.42747811263984975
15,-0.0770724210834365
16,-0.34502971462657606
17,-0.42747811263984975
18,-0.04958962174567859
19,0.2733332704729768
20,0.6924459603737848
21,0.2802039703074163
22,0.34204026881737154
23,0.4725835656717216
24,0.24585047113521888
25,-0.18013291860002864
26,-0.13890871959339177
27,-0.3106762154543787
28,-0.4480902121431682
29,-0.4549609119776077
30,-0.37938321379877343
31,-0.3175469152888182
32,-0.4206074128054103
33,-0.5511507096597603
34,-0.8259787030373393
35,-0.8259787030373393
36,-0.9290392005539315
37,-1.0046168987327657
38,-0.935909900388371
39,-1.121418795918237
40,-0.7023061060174288
41,-0.35190041446101555
42,-0.6061163083352762
43,-0.4618316118120471
44,-0.5648921093286393
45,-0.9771340993950078
46,-1.368763989958058
47,-1.513048686481287
48,-1.629850583666758
49,-1.7535231806866687
50,-1.7260403813489107
51,-1.6092384841634397
52,-1.3137983912825422
53,-1.1695136947593132
54,-0.935909900388371
55,-0.7297889053551867
56,-0.661081907010792
57,-0.7435303050240657
58,-0.8672029020439762
59,-0.9152978008850525
60,-0.8328494028717789
61,-0.9290392005539315
62,-0.6885647063485498
63,-0.29006411595106024
64,-0.6473405073419131
65,-0.661081907010792
66,-0.5580214094941999
67,-0.5099265106531234
68,-0.5580214094941999
69,-0.9565219998916894
70,-1.4099881889646948
71,-1.4786951873090897
72,-1.945902776050974
73,-1.8771957777065793
74,-1.9390320762165345
75,-1.829100878865503
76,-1.6848161823422738
77,-1.4306002884680133
78,-1.121418795918237
79,-0.8465908025406578
80,-0.8672029020439762
81,-0.8259787030373393
82,-0.20074501810334705
83,-0.008365422739041731
84,-0.29693481578549974
85,-0.3038055156199392
86,-0.3106762154543787
87,-0.3038055156199392
88,-0.3175469152888182
89,-0.26258131661330236
90,0.13591927378418728
91,0.012246676764276697
92,-0.35190041446101555
93,-0.4687023116464866
94,-0.9152978008850525
95,-1.3000569916136633
96,-1.7397817810177898
97,-1.671074782673395
98,-1.801618079527745
99,-1.9184199767132162
100,-1.8703250778721399
101,-1.3756346897924974
102,-1.1969964940970712
103,-1.0252289982360843
104,-0.8259787030373393
105,-0.8465908025406578
106,-0.805366603534021
107,-0.04958962174567859
108,0.34204026881737154
109,-0.39999531330209187
110,-0.3244176151232576
111,0.02598807643315565
112,-0.16639151893114967
113,-0.11829662009007334
114,0.053470875770913556
115,0.11530717428086884
116,0.032858776267595126
117,-0.5786335089975182
118,-0.8397201027062183
119,-0.9427806002228105
120,-1.2657034924414658
121,-1.3206690911169816
122,-1.6229798838323186
123,-1.4512123879713317
124,-1.355022590289179
125,-1.396246789295816
126,-1.0046168987327657
127,-0.9840047992294474
128,-0.9221685007194921
129,-0.8191080032028999
130,-0.8809443017128552
131,-0.9084271010506131
132,-0.6885647063485498
133,-0.2763227162821813
134,-0.48931441114980506
135,-0.5923749086663972
136,-0.4687023116464866
